threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.09,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.18,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.27,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.36,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.44999999999999996,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.54,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.63,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.72,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.8099999999999999,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.8999999999999999,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
0.99,0.3492198558460259,0.2961793954811366,0.11191830295985722,0.0
